Crash ID,Agency,City,County,Crash Death Count,Crash Severity,Crash Year,Day of Week,Latitude,Longitude,Charge
14838637,Lufkin Police Department,Lufkin,Angelina,0,Not Injured,2016,Friday,31.36572392,-94.7030278,DWI
14838637,Lufkin Police Department,Lufkin,Angelina,0,Not Injured,2016,Friday,31.36572392,-94.7030278,No Data
14838668,"Department Of Public Safety, State Of Texas",Rural Zapata County,Zapata,0,Not Injured,2016,Friday,26.88121014,-99.25772367,DRIVING WHILE INTOXICATED
14838669,Hurst Police Department,Hurst,Tarrant,0,Not Injured,2016,Friday,32.80900955,-97.21000671,No Data
14838669,Hurst Police Department,Hurst,Tarrant,0,Not Injured,2016,Friday,32.80900955,-97.21000671,DWI W/BAC >.015
14838670,Hurst Police Department,Hurst,Tarrant,0,Not Injured,2016,Friday,32.81736208,-97.15963154,DRIVING WHILE INTOXICATED
14838693,"Department Of Public Safety, State Of Texas",Rural Zapata County,Zapata,0,Not Injured,2016,Friday,26.88121014,-99.25772367,DRIVING WHILE INTOXICATED
14838877,Denton Police Department,Denton,Denton,0,Not Injured,2016,Friday,33.20814419,-97.12518246,"POSS PG 3 UNDER 28, POSS MJ UNDER 2, DWI"
14838967,Amarillo Police Department,Amarillo,Randall,0,Not Injured,2016,Friday,35.15547407,-101.8976912,No Data
14839047,Hurst Police Department,Hurst,Tarrant,0,Not Injured,2016,Friday,32.81952905,-97.15988231,"CRIMINAL MISCHIEF $2500 - $30000, EVADING IN VEHICLE, DWI"
14839048,Hurst Police Department,Hurst,Tarrant,0,Not Injured,2016,Friday,32.81353426,-97.15937248,"CRIMINAL MISHCHIEF OVER $2500, DWI OVER .15, EVADING IN  A VEHICLE"
14839307,Travis County Sheriff's Office,Rural Travis County,Travis,0,Not Injured,2016,Friday,30.397654,-97.92886159,DRIVING WHILE  INTOXICATED
14839307,Travis County Sheriff's Office,Rural Travis County,Travis,0,Not Injured,2016,Friday,30.397654,-97.92886159,FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY
14839311,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.60780785,-98.46878217,DWI 2ND
14839311,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.60780785,-98.46878217,No Data
14839311,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.60780785,-98.46878217,No Data
14839311,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.60780785,-98.46878217,No Data
14839311,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.60780785,-98.46878217,No Data
14839395,El Paso Police Department,El Paso,El Paso,0,Incapacitating Injury,2016,Friday,31.75536691,-106.2892357,No Data
14839395,El Paso Police Department,El Paso,El Paso,0,Incapacitating Injury,2016,Friday,31.75536691,-106.2892357,No Data
14839395,El Paso Police Department,El Paso,El Paso,0,Incapacitating Injury,2016,Friday,31.75536691,-106.2892357,No Data
14839435,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.48486496,-98.42850386,DWI
14839485,Travis County Sheriff's Office,Rural Travis County,Travis,0,Non-Incapacitating Injury,2016,Friday,30.14103983,-97.84666329,DWI BAC>.15
14839485,Travis County Sheriff's Office,Rural Travis County,Travis,0,Non-Incapacitating Injury,2016,Friday,30.14103983,-97.84666329,PUBLIC INTOXICATION
14839517,Denton Police Department,Denton,Denton,0,Not Injured,2016,Friday,33.16460464,-97.07748807,DRIVING WHILE INTOXICATED 3RD OR MORE
14840114,Waco Police Department,Waco,McLennan,0,Non-Incapacitating Injury,2016,Friday,31.5234757,-97.19138689,INTOXICATION ASSAULT PC 49.07
